0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
42   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/student/Projects/Building-Oregon/jetty/contexts at interval 0
61   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/student/Projects/Building-Oregon/jetty/contexts/solr.xml
1077 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
2344 [coreLoadExecutor-5-thread-2] INFO  org.apache.solr.core.SolrCore  – Soft AutoCommit: disabled
2349 [coreLoadExecutor-5-thread-2] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=/home/student/Projects/Building-Oregon/jetty/solr/blacklight-core-test/data/index,segFN=segments_1,generation=1}
2349 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=/home/student/Projects/Building-Oregon/jetty/solr/blacklight-core/data/index,segFN=segments_1,generation=1}
2349 [coreLoadExecutor-5-thread-2] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
2349 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
2353 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@66a9d56a[blacklight-core] main
2353 [coreLoadExecutor-5-thread-2] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@17fa56ce[blacklight-core-test] main
2357 [coreLoadExecutor-5-thread-2] INFO  org.apache.solr.rest.ManagedResourceStorage  – File-based storage initialized to use dir: /home/student/Projects/Building-Oregon/jetty/solr/blacklight-core-test/conf
2357 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – File-based storage initialized to use dir: /home/student/Projects/Building-Oregon/jetty/solr/blacklight-core/conf
2357 [coreLoadExecutor-5-thread-2] INFO  org.apache.solr.rest.RestManager  – Initializing RestManager with initArgs: {storageDir=/home/student/Projects/Building-Oregon/jetty/solr/blacklight-core-test/conf/}
2357 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing RestManager with initArgs: {storageDir=/home/student/Projects/Building-Oregon/jetty/solr/blacklight-core/conf/}
2364 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Reading _rest_managed.json using file:dir=/home/student/Projects/Building-Oregon/jetty/solr/blacklight-core/conf
2364 [coreLoadExecutor-5-thread-2] INFO  org.apache.solr.rest.ManagedResourceStorage  – Reading _rest_managed.json using file:dir=/home/student/Projects/Building-Oregon/jetty/solr/blacklight-core-test/conf
2364 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.rest.ManagedResource  – No stored data found for /rest/managed
2364 [coreLoadExecutor-5-thread-2] WARN  org.apache.solr.rest.ManagedResource  – No stored data found for /rest/managed
2364 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.rest.ManagedResource  – No registered observers for /rest/managed
2364 [coreLoadExecutor-5-thread-2] WARN  org.apache.solr.rest.ManagedResource  – No registered observers for /rest/managed
2365 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing 0 registered ManagedResources
2365 [coreLoadExecutor-5-thread-2] INFO  org.apache.solr.rest.RestManager  – Initializing 0 registered ManagedResources
2365 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Initializing spell checkers
2365 [coreLoadExecutor-5-thread-2] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Initializing spell checkers
2369 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Registering newSearcher listener for spellchecker: default
2370 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – No queryConverter defined, using default converter
2377 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CoreContainer  – registering core: blacklight-core
2377 [searcherExecutor-7-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Registered new searcher Searcher@66a9d56a[blacklight-core] main{StandardDirectoryReader(segments_1:1:nrt)}
2404 [coreLoadExecutor-5-thread-2] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Registering newSearcher listener for spellchecker: default
2404 [coreLoadExecutor-5-thread-2] INFO  org.apache.solr.handler.component.SpellCheckComponent  – No queryConverter defined, using default converter
2405 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core-test] Registered new searcher Searcher@17fa56ce[blacklight-core-test] main{StandardDirectoryReader(segments_1:1:nrt)}
2405 [coreLoadExecutor-5-thread-2] INFO  org.apache.solr.core.CoreContainer  – registering core: blacklight-core-test
2406 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – user.dir=/home/student/Projects/Building-Oregon/jetty
